Comment,Designator,Footprint,LCSC
330,R13,R_0805_2012Metric,C105877
1k,"R4,R6",R_0805_2012Metric,C110774
1N4148,D2,D_SOD-123,C112342
2.7k,R11,R_0805_2012Metric,C114520
LM4040LP-2.0,U4,SOT-23,C131939
1.3k,R12,R_0805_2012Metric,C137582
100,"R14,R15,R16,R5",R_0805_2012Metric,C17408
10k,"R1,R2",R_0805_2012Metric,C17414
0,R3,R_0805_2012Metric,C17477
BSS138K,"Q1,Q2,Q3",SOT-23,C255592
1uF,C2,C_0805_2012Metric,C28323
300k,R10,R_0805_2012Metric,C316202
47k,R8,R_0805_2012Metric,C490805
0.1uF,"C1,C4",C_0805_2012Metric,C49678
L,"L1,L2",L_0805_2012Metric,C68035
39k,R7,R_0805_2012Metric,C706239
MCP6002-xSN,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7377
1206L025YR,F1,Fuse_1206_3216Metric,
