Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,152.908,33.782,0.0,top
C2,1uF,C_0805_2012Metric,84.328,32.512,90.0,top
C4,0.1uF,C_0805_2012Metric,158.242,18.542,180.0,top
D2,1N4148,D_SOD-123,157.988,7.747,0.0,top
F1,1206L025YR,Fuse_1206_3216Metric,163.068,2.032,180.0,top
L1,L,L_0805_2012Metric,133.223,34.417,0.0,top
L2,L,L_0805_2012Metric,158.242,20.955,0.0,top
Q1,BSS138K,SOT-23,149.098,13.462,0.0,top
Q2,BSS138K,SOT-23,149.098,9.017,0.0,top
Q3,BSS138K,SOT-23,149.098,4.572,0.0,top
R1,10k,R_0805_2012Metric,134.62,10.922,-90.0,top
R2,10k,R_0805_2012Metric,137.668,10.922,-90.0,top
R3,0,R_0805_2012Metric,131.953,30.607,-90.0,top
R4,1k,R_0805_2012Metric,152.908,28.702,0.0,top
R5,100,R_0805_2012Metric,140.208,32.512,0.0,top
R6,1k,R_0805_2012Metric,152.908,31.242,180.0,top
R7,39k,R_0805_2012Metric,158.242,16.002,180.0,top
R8,47k,R_0805_2012Metric,158.242,13.462,0.0,top
R10,300k,R_0805_2012Metric,158.242,10.922,0.0,top
R11,2.7k,R_0805_2012Metric,152.908,13.462,-90.0,top
R12,1.3k,R_0805_2012Metric,152.908,9.017,-90.0,top
R13,330,R_0805_2012Metric,152.908,4.572,-90.0,top
R14,100,R_0805_2012Metric,145.288,13.462,-90.0,top
R15,100,R_0805_2012Metric,145.288,9.017,-90.0,top
R16,100,R_0805_2012Metric,145.288,4.572,-90.0,top
U3,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,146.558,31.877,0.0,top
U4,LM4040LP-2.0,SOT-23,88.138,32.512,90.0,top
